City,Cloudiness (%),Humidity (%),Latitude,Max Temperature (F),Wind Speed (mph)
Nhulunbuy,75,88,-12.18,80.6,20.8
Milos,68,49,36.75,46.4,28.86
Wanaka,36,34,-44.7,71.32,3.62
Estelle,90,75,32.87,44.6,9.17
Beyla,0,63,8.69,56.2,3.8
Genhe,12,53,50.78,-6.45,3.02
Yele,20,97,8.02,70.91,2.8
Oranjestad,40,78,12.52,80.6,14.99
Bridlington,44,87,54.08,51.8,19.46
Majagual,8,53,8.54,82.61,4.25
Palu,68,54,-0.9,80.32,1.79
Pangkalanbuun,56,82,-2.68,85.9,5.59
Mlyniv,90,100,50.51,41.0,22.37
Puerto El Triunfo,0,88,13.27,73.4,2.24
Basar,0,72,27.98,68.0,2.06
Kaeo,100,93,-35.1,66.01,11.9
Bossangoa,0,78,6.5,67.04,3.02
Jakar,12,59,27.55,35.18,1.12
Grand Gaube,75,78,-20.01,80.6,2.24
Banda Aceh,92,96,5.56,76.54,4.29
Uyar,88,83,55.81,14.03,3.13
Acapulco,40,83,16.86,80.6,3.36
Port Augusta,92,53,-32.49,73.4,27.51
Ghazipur,20,83,25.59,59.39,3.02
Port-Gentil,92,100,-0.72,77.08,3.58
Ko Samui,20,74,9.54,84.2,5.82
Kayes,8,44,14.44,57.68,9.89
Manuk Mangkaw,76,100,4.8,78.56,6.82
Bayburt,92,95,40.26,30.23,1.79
Serebryansk,75,83,49.68,-4.01,2.24
Bloomington,1,79,40.47,24.8,6.93
Hovd,36,60,48.01,-10.14,1.79
Grants,1,53,35.15,26.6,14.81
Marsh Harbour,76,100,26.54,73.66,8.32
Razole,0,100,16.48,75.91,8.66
Klaksvik,92,100,62.23,39.2,6.93
Vilyuysk,56,0,63.75,-34.44,4.63
Ivanishchi,92,85,55.77,22.45,21.74
Serafimovich,68,97,49.58,24.38,8.1
Say,0,44,13.1,68.0,8.05
Wajid,0,53,3.81,67.31,10.67
Winslow,1,24,35.02,42.8,9.17
Psebay,92,99,44.12,27.58,2.91
Sosnogorsk,88,79,63.59,19.48,4.92
Annaberg-Buchholz,90,86,50.58,41.0,17.22
Ballarat,8,66,-37.56,66.73,11.34
Shaoyang,0,71,27.23,49.9,8.88
Jackson,90,93,35.61,39.2,6.93
Neftekamsk,88,85,56.1,15.34,9.33
Guilin,0,44,25.28,60.8,8.95
Mossendjo,92,98,-2.95,68.98,2.39
Nakhon Si Thammarat,40,79,8.43,84.2,4.7
Kunashak,8,84,55.7,6.8,6.71
Vallenar,0,84,-28.58,58.49,2.13
Cockburn Town,80,100,24.03,75.55,9.55
Meadow Lake,44,66,54.13,1.75,2.8
Bilibino,56,46,68.06,-30.07,2.39
Worland,1,91,44.02,-7.61,5.82
Penzance,92,93,50.12,48.2,17.22
Wenzhou,0,57,28.02,55.03,9.78
Odienne,0,57,9.51,55.43,4.59
Yanam,12,77,16.73,74.29,6.42
Quang Ngai,92,98,15.12,69.34,6.76
Birao,0,42,10.3,64.12,7.54
Alofi,92,74,-19.06,78.8,5.82
Umm Kaddadah,0,46,13.6,56.83,7.05
Danane,0,55,7.26,63.89,5.82
Maketu,24,80,-37.76,68.93,10.45
Pinega,88,86,64.7,22.18,4.81
Cravo Norte,0,49,6.3,84.91,9.62
Ayacucho,36,98,-13.16,38.92,2.35
Bad Hofgastein,75,73,47.17,32.0,2.24
Suba,20,79,9.55,86.0,11.41
Stokmarknes,64,100,68.56,35.81,6.64
Marsa Matruh,75,87,31.35,53.6,11.41
Russell,100,93,-35.26,66.01,11.9
Gewane,0,83,10.16,44.63,2.62
Oskemen,75,83,49.96,-4.01,2.24
Wewak,32,89,-3.55,81.71,3.4
Le Mee-sur-Seine,90,93,48.53,48.2,6.93
Shaunavon,32,71,49.65,8.95,11.12
Peniche,0,70,39.36,48.2,6.93
Bath,90,69,40.73,42.8,10.29
Maryborough,0,35,-25.54,92.51,2.91
Faro,40,82,37.02,59.0,17.22
Bay Roberts,90,92,47.58,23.0,3.36
Tongliao,64,44,43.61,17.59,11.86
Christchurch,12,53,-43.53,73.4,16.11
Cururupu,76,80,-1.82,80.18,6.82
Coihueco,0,58,-36.63,59.0,10.29
Kolokani,0,50,13.58,49.27,9.66
Vizianagaram,0,84,18.12,72.49,5.37
Jogighopa,12,99,26.23,60.25,4.25
Dubovskoye,80,96,47.41,29.65,6.87
Rantauprapat,12,68,2.1,81.71,2.51
Rabo de Peixe,40,77,37.8,62.6,6.93
Bay-Khaak,20,66,51.16,-4.02,3.06
Opole,80,91,50.67,42.7,20.85
Zawadzkie,75,81,50.61,46.4,21.92
Bourges,90,93,47.08,44.6,3.36
Bindi,0,49,9.91,59.84,6.42
Chunskiy,76,77,56.08,6.83,2.51
Nesna,88,86,66.2,31.36,7.16
Itoman,20,69,26.12,78.8,17.22
Kazuno,75,100,40.2,42.8,2.84
Betsiamites,90,92,48.94,23.0,5.82
Creel,0,79,27.75,38.78,2.73
Sao Joao da Barra,0,99,-21.64,77.93,28.45
Kotaparh,0,81,19.15,63.85,4.41
Natal,40,83,-5.81,78.8,5.82
Margate,92,100,-30.86,68.98,9.44
Zhanaozen,80,95,43.35,37.75,7.65
Mouzouras,75,87,35.53,42.8,18.34
Almenara,8,88,-16.17,70.28,3.62
Erchie,20,93,40.44,51.8,27.51
Ambuclao,0,74,16.48,83.78,2.35
